"row_group","method","spearman","topk","topk_exact","rank1"
"Wasting — MAR 50%","IPW","0.78","0.65","4.4","48.4"
"Wasting — MAR 50%","MI-PMM","0.84","0.69","7.6","56.4"
"Wasting — MAR 50%","MI-RF","0.82","0.68","4.8","40.0"
"Wasting — MAR-strong 10%","Complete data","0.87","0.72","7.0","63.0"
"Wasting — MAR-strong 10%","CCA","0.86","0.68","4.4","58.8"
"Wasting — MAR-strong 10%","IPW","0.86","0.71","6.4","60.0"
"Wasting — MAR-strong 10%","MI-PMM","0.87","0.70","5.4","61.6"
"Wasting — MAR-strong 10%","MI-RF","0.86","0.69","5.4","59.8"
"Wasting — MAR-strong 30%","Complete data","0.87","0.73","8.8","64.8"
"Wasting — MAR-strong 30%","CCA","0.82","0.60","1.0","46.0"
"Wasting — MAR-strong 30%","IPW","0.82","0.66","3.0","50.2"
"Wasting — MAR-strong 30%","MI-PMM","0.85","0.67","3.0","53.6"
"Wasting — MAR-strong 30%","MI-RF","0.82","0.62","2.4","49.6"
"Wasting — MAR-strong 50%","Complete data","0.87","0.72","6.2","61.6"
"Wasting — MAR-strong 50%","CCA","0.76","0.55","0.4","37.0"
"Wasting — MAR-strong 50%","IPW","0.76","0.60","1.2","41.4"
"Wasting — MAR-strong 50%","MI-PMM","0.83","0.64","2.6","46.4"
"Wasting — MAR-strong 50%","MI-RF","0.77","0.56","0.4","40.2"
"Wasting — MNAR 10%","Complete data","0.87","0.72","8.0","64.4"
"Wasting — MNAR 10%","CCA","0.84","0.72","9.2","23.2"
"Wasting — MNAR 10%","IPW","0.84","0.72","10.2","19.0"
"Wasting — MNAR 10%","MI-PMM","0.85","0.74","11.6","21.4"
"Wasting — MNAR 10%","MI-RF","0.84","0.72","8.6","19.6"
"Wasting — MNAR 30%","Complete data","0.87","0.73","7.8","61.2"
"Wasting — MNAR 30%","CCA","0.77","0.69","8.8","11.4"
"Wasting — MNAR 30%","IPW","0.76","0.70","9.4","8.4"
"Wasting — MNAR 30%","MI-PMM","0.81","0.73","10.8","10.4"
"Wasting — MNAR 30%","MI-RF","0.78","0.70","7.6","6.4"
"Wasting — MNAR 50%","Complete data","0.87","0.73","9.4","62.2"
"Wasting — MNAR 50%","CCA","0.67","0.63","3.0","16.0"
"Wasting — MNAR 50%","IPW","0.66","0.65","2.8","12.2"
"Wasting — MNAR 50%","MI-PMM","0.76","0.71","6.0","18.8"
"Wasting — MNAR 50%","MI-RF","0.70","0.66","3.6","8.6"
