"scenario","mechanism","rate","method","outcome","n_sim","mean_spearman","mean_topk_overlap","p_topk_exact","p_rank1_correct"
8,"MAR-strong",0.3,"Complete data","stunted",500,0.925361660079051,0.6884,0.052,0.348
8,"MAR-strong",0.3,"Complete data","wasted",500,0.871254940711462,0.7292,0.088,0.648
8,"MAR-strong",0.3,"CCA","stunted",500,0.902614624505929,0.6764,0.048,0.244
8,"MAR-strong",0.3,"CCA","wasted",500,0.822762845849802,0.6044,0.01,0.46
8,"MAR-strong",0.3,"IPW","stunted",500,0.904679841897233,0.6564,0.036,0.284
8,"MAR-strong",0.3,"IPW","wasted",500,0.824069169960474,0.6556,0.03,0.502
8,"MAR-strong",0.3,"MI-PMM","stunted",500,0.904385375494071,0.646,0.028,0.234
8,"MAR-strong",0.3,"MI-PMM","wasted",500,0.85004743083004,0.666,0.03,0.536
8,"MAR-strong",0.3,"MI-RF","stunted",500,0.912326086956522,0.6984,0.066,0.27
8,"MAR-strong",0.3,"MI-RF","wasted",500,0.824466403162055,0.6204,0.024,0.496
9,"MAR-strong",0.5,"Complete data","stunted",500,0.922098814229249,0.6792,0.048,0.36
9,"MAR-strong",0.5,"Complete data","wasted",500,0.871646245059289,0.7184,0.062,0.616
9,"MAR-strong",0.5,"CCA","stunted",500,0.871861660079051,0.6336,0.034,0.252
9,"MAR-strong",0.5,"CCA","wasted",500,0.763498038123056,0.5548,0.004,0.37
9,"MAR-strong",0.5,"IPW","stunted",500,0.871274703557312,0.6116,0.028,0.282
9,"MAR-strong",0.5,"IPW","wasted",500,0.758664049446949,0.6048,0.012,0.414
9,"MAR-strong",0.5,"MI-PMM","stunted",500,0.871444664031621,0.586,0.012,0.226
9,"MAR-strong",0.5,"MI-PMM","wasted",500,0.826762845849802,0.6376,0.026,0.464
9,"MAR-strong",0.5,"MI-RF","stunted",500,0.887671936758893,0.6616,0.036,0.272
9,"MAR-strong",0.5,"MI-RF","wasted",500,0.773084813328664,0.5628,0.004,0.402
10,"MNAR",0.1,"Complete data","stunted",500,0.926057312252964,0.6972,0.058,0.338
10,"MNAR",0.1,"Complete data","wasted",500,0.867333992094862,0.7228,0.08,0.644
10,"MNAR",0.1,"CCA","stunted",500,0.924442687747036,0.7248,0.072,0.334
10,"MNAR",0.1,"CCA","wasted",500,0.841067193675889,0.7188,0.092,0.232
10,"MNAR",0.1,"IPW","stunted",500,0.923357707509881,0.7172,0.07,0.314
10,"MNAR",0.1,"IPW","wasted",500,0.838579051383399,0.7244,0.102,0.19
10,"MNAR",0.1,"MI-PMM","stunted",500,0.924081027667984,0.7248,0.07,0.332
10,"MNAR",0.1,"MI-PMM","wasted",500,0.848051383399209,0.7404,0.116,0.214
10,"MNAR",0.1,"MI-RF","stunted",500,0.926458498023715,0.7284,0.08,0.338
10,"MNAR",0.1,"MI-RF","wasted",500,0.841541501976285,0.7216,0.086,0.196
11,"MNAR",0.3,"Complete data","stunted",500,0.923509881422925,0.6836,0.052,0.372
11,"MNAR",0.3,"Complete data","wasted",500,0.871962450592885,0.7296,0.078,0.612
11,"MNAR",0.3,"CCA","stunted",500,0.893571146245059,0.6956,0.064,0.336
11,"MNAR",0.3,"CCA","wasted",500,0.772359989528907,0.6896,0.088,0.114
11,"MNAR",0.3,"IPW","stunted",500,0.889284584980237,0.6792,0.054,0.304
11,"MNAR",0.3,"IPW","wasted",500,0.76168799904672,0.7012,0.094,0.084
11,"MNAR",0.3,"MI-PMM","stunted",500,0.888169960474308,0.6892,0.052,0.336
11,"MNAR",0.3,"MI-PMM","wasted",500,0.811324550958778,0.7316,0.108,0.104
11,"MNAR",0.3,"MI-RF","stunted",500,0.902250988142292,0.718,0.076,0.312
11,"MNAR",0.3,"MI-RF","wasted",500,0.780649666744699,0.6964,0.076,0.064
12,"MNAR",0.5,"Complete data","stunted",500,0.923586956521739,0.6932,0.082,0.344
12,"MNAR",0.5,"Complete data","wasted",500,0.869565217391304,0.7292,0.094,0.622
12,"MNAR",0.5,"CCA","stunted",500,0.851911067193676,0.662,0.046,0.306
12,"MNAR",0.5,"CCA","wasted",500,0.673930193665721,0.6344,0.03,0.16
12,"MNAR",0.5,"IPW","stunted",500,0.839541501976285,0.6512,0.032,0.264
12,"MNAR",0.5,"IPW","wasted",500,0.6575049832827,0.6456,0.028,0.122
12,"MNAR",0.5,"MI-PMM","stunted",500,0.841626482213439,0.6596,0.026,0.288
12,"MNAR",0.5,"MI-PMM","wasted",500,0.762026110519074,0.7092,0.06,0.188
12,"MNAR",0.5,"MI-RF","stunted",500,0.866824110671937,0.692,0.056,0.27
12,"MNAR",0.5,"MI-RF","wasted",500,0.704552579831158,0.6584,0.036,0.086
13,"MAR",0.3,"MI-RF (ntree=50)","stunted",200,0.918201581027668,0.722,0.095,0.39
13,"MAR",0.3,"MI-RF (ntree=50)","wasted",200,0.850331027667984,0.705,0.085,0.52
