"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Stunting","MAR 50%","MI-RF",20,"0.16 (0.32)","0.4","1.45 (0.23)","1.01 (0.02)","0.70","1.42 (0.21)","90.0 (6.7)","4.01","0.34"
"Stunting","MNAR 10%","Complete data",20,"0.17 (0.20)","0.4","0.89 (0.14)","0.93 (0.01)","1.04","0.88 (0.12)","95.0 (4.9)","3.64","—"
"Stunting","MNAR 10%","CCA",20,"-2.06 (0.23)","-5.2","1.01 (0.16)","0.95 (0.01)","0.94","2.29 (0.26)","55.0 (11.1)","3.72","—"
"Stunting","MNAR 10%","IPW",20,"-1.85 (0.23)","-4.7","1.03 (0.17)","0.95 (0.01)","0.92","2.11 (0.26)","60.0 (11.0)","3.73","—"
"Stunting","MNAR 10%","MI-PMM",20,"-1.86 (0.23)","-4.7","1.01 (0.16)","0.93 (0.01)","0.92","2.10 (0.26)","65.0 (10.7)","3.67","0.09"
"Stunting","MNAR 10%","MI-RF",20,"-1.74 (0.23)","-4.4","1.02 (0.17)","0.93 (0.01)","0.91","2.00 (0.26)","65.0 (10.7)","3.65","0.07"
"Stunting","MNAR 30%","Complete data",20,"0.01 (0.28)","0.0","1.26 (0.20)","0.93 (0.01)","0.73","1.23 (0.19)","80.0 (8.9)","3.63","—"
"Stunting","MNAR 30%","CCA",20,"-6.39 (0.30)","-16.1","1.35 (0.22)","1.00 (0.01)","0.74","6.52 (0.30)","0.0 (0.0)","3.92","—"
"Stunting","MNAR 30%","IPW",20,"-6.16 (0.30)","-15.5","1.35 (0.22)","1.02 (0.01)","0.76","6.30 (0.29)","0.0 (0.0)","4.01","—"
"Stunting","MNAR 30%","MI-PMM",20,"-6.23 (0.30)","-15.7","1.32 (0.21)","0.93 (0.02)","0.70","6.36 (0.29)","0.0 (0.0)","3.68","0.22"
"Stunting","MNAR 30%","MI-RF",20,"-5.88 (0.30)","-14.8","1.34 (0.22)","0.92 (0.01)","0.69","6.03 (0.29)","0.0 (0.0)","3.63","0.20"
"Stunting","MNAR 50%","Complete data",20,"0.28 (0.18)","0.7","0.80 (0.13)","0.95 (0.01)","1.19","0.83 (0.10)","100.0 (0.0)","3.72","—"
"Stunting","MNAR 50%","CCA",20,"-9.76 (0.23)","-24.6","1.05 (0.17)","1.13 (0.01)","1.08","9.82 (0.24)","0.0 (0.0)","4.44","—"
"Stunting","MNAR 50%","IPW",20,"-9.35 (0.22)","-23.6","1.01 (0.16)","1.22 (0.02)","1.21","9.40 (0.22)","0.0 (0.0)","4.79","—"
"Stunting","MNAR 50%","MI-PMM",20,"-9.50 (0.21)","-24.0","0.92 (0.15)","1.05 (0.03)","1.14","9.54 (0.21)","0.0 (0.0)","4.23","0.47"
