"row_group","group_lab","n","CCA","CCA (outcome + covariates)","IPW","MI-PMM","MI-RF"
"Wasting — Region","Bongolava","314 / 323","7.4 (5.0–10.7)","7.3 (4.8–10.9)","7.5 (5.2–10.9)","7.4 (5.1–10.8)","7.4 (5.0–10.7)"
"Wasting — Region","Haute Matsiatra","256 / 258","2.4 (0.6–9.2)","2.5 (0.6–9.4)","2.4 (0.6–9.1)","2.4 (0.6–9.1)","2.4 (0.6–9.1)"
"Wasting — Region","Amoron'i Mania","279 / 285","2.6 (1.4–4.9)","2.7 (1.4–5.0)","2.6 (1.4–4.8)","2.7 (1.4–5.0)","2.6 (1.4–4.9)"
"Wasting — Region","Vatovavy Fitovinany †","271 / 288","10.2 (7.4–13.9)","9.5 (6.5–13.7)","10.3 (7.4–14.2)","10.2 (7.3–14.0)","10.0 (7.2–13.7)"
"Wasting — Region","Ihorombe","318 / 321","5.2 (2.9–9.1)","5.2 (2.9–9.2)","5.2 (2.9–9.1)","5.1 (2.9–9.1)","5.2 (2.9–9.1)"
"Wasting — Region","Atsimo Atsinanana","368 / 375","12.4 (9.5–15.9)","12.5 (9.6–16.1)","12.3 (9.5–15.8)","12.3 (9.5–15.8)","12.3 (9.5–15.8)"
"Wasting — Region","Atsinanana","264 / 271","8.6 (5.1–14.2)","8.6 (5.0–14.3)","8.6 (5.1–14.0)","8.6 (5.1–14.1)","8.6 (5.1–14.1)"
"Wasting — Region","Analanjirofo","288 / 293","11.3 (7.3–17.0)","11.1 (7.2–16.8)","11.3 (7.3–17.1)","11.2 (7.3–16.9)","11.1 (7.2–16.8)"
"Wasting — Region","Alaotra Mangoro","251 / 258","3.7 (1.9–7.2)","3.8 (2.0–7.3)","3.7 (1.9–7.1)","3.8 (1.9–7.2)","3.8 (1.9–7.2)"
"Wasting — Region","Boeny","217 / 221","12.4 (8.3–18.2)","12.7 (8.5–18.4)","12.4 (8.3–18.1)","12.3 (8.2–18.0)","12.4 (8.3–18.1)"
"Wasting — Region","Sofia","218 / 224","9.8 (6.1–15.2)","10.0 (6.3–15.4)","9.6 (6.0–15.0)","9.7 (6.1–15.1)","9.8 (6.2–15.1)"
"Wasting — Region","Betsiboka","262 / 271","7.3 (4.2–12.5)","6.9 (4.2–11.2)","7.7 (4.2–13.7)","7.4 (4.2–12.7)","7.4 (4.3–12.5)"
"Wasting — Region","Melaky","270 / 275","5.9 (3.1–10.9)","6.0 (3.2–11.1)","5.8 (3.0–10.9)","5.9 (3.1–10.9)","5.9 (3.1–10.9)"
"Wasting — Region","Atsimo Andrefana","370 / 387","6.8 (4.2–11.0)","6.7 (4.0–11.0)","6.9 (4.3–11.0)","6.9 (4.3–11.0)","6.7 (4.1–10.8)"
"Wasting — Region","Androy","461 / 474","15.2 (10.8–20.8)","15.6 (11.2–21.3)","14.9 (10.6–20.4)","15.1 (10.8–20.7)","15.1 (10.8–20.8)"
"Wasting — Region","Anosy †","328 / 332","9.9 (7.1–13.7)","10.1 (7.2–13.9)","9.9 (7.1–13.6)","9.8 (7.1–13.5)","9.8 (7.1–13.6)"
"Wasting — Region","Menabe","286 / 290","6.7 (3.1–13.7)","7.1 (3.1–15.2)","6.6 (3.1–13.6)","6.7 (3.1–13.7)","6.8 (3.2–13.7)"
"Wasting — Region","Diana","205 / 209","7.8 (4.8–12.5)","7.9 (4.8–12.6)","7.8 (4.8–12.5)","7.8 (4.8–12.5)","7.8 (4.7–12.4)"
"Wasting — Region","Sava","219 / 232","9.5 (6.0–14.8)","9.7 (6.1–15.1)","9.5 (6.0–14.6)","9.6 (6.1–14.8)","9.5 (6.0–14.6)"
"Wasting — Wealth quintile","Poorest","1783 / 1829","9.9 (8.2–11.9)","10.1 (8.3–12.2)","9.8 (8.1–11.8)","9.9 (8.2–11.9)","9.9 (8.2–11.9)"
"Wasting — Wealth quintile","Poorer","1447 / 1490","8.0 (6.5–9.8)","8.2 (6.6–10.0)","7.9 (6.4–9.7)","8.0 (6.5–9.8)","7.9 (6.5–9.8)"
"Wasting — Wealth quintile","Middle","1292 / 1312","6.9 (5.3–8.9)","6.7 (5.1–8.6)","7.1 (5.4–9.1)","6.9 (5.3–8.9)","6.9 (5.3–8.8)"
"Wasting — Wealth quintile","Richer","993 / 1021","5.5 (4.1–7.3)","5.5 (4.1–7.4)","5.5 (4.1–7.3)","5.5 (4.1–7.4)","5.5 (4.1–7.3)"
"Wasting — Wealth quintile","Richest","963 / 1004","7.1 (5.2–9.5)","6.9 (5.1–9.3)","7.1 (5.2–9.6)","7.0 (5.2–9.5)","7.1 (5.2–9.5)"
