"scenario","mechanism","rate","method","outcome","axis","n_groups","mean_abs_bias","max_abs_bias","mean_coverage","min_coverage","n_degenerate_ci"
3,"MCAR",0.5,"CCA","wasted","wealth",5,0.000660641180075282,0.000906807058689771,0.9412,0.924,0
3,"MCAR",0.5,"IPW","stunted","region",23,0.00187655424442718,0.0056234565754843,0.935826086956522,0.91,0
3,"MCAR",0.5,"IPW","stunted","wealth",5,0.0015059676424375,0.00353218796194193,0.9496,0.938,0
3,"MCAR",0.5,"IPW","wasted","region",23,0.00100867435425602,0.00403033270745227,0.941366097071455,0.81,103
3,"MCAR",0.5,"IPW","wasted","wealth",5,0.000684271521696521,0.000950766028721142,0.9416,0.928,0
3,"MCAR",0.5,"MI-PMM","stunted","region",23,0.0114267719628307,0.0308097700963494,0.947565217391304,0.912,0
3,"MCAR",0.5,"MI-PMM","stunted","wealth",5,0.00725215102038002,0.0167665364383249,0.956,0.926,0
3,"MCAR",0.5,"MI-PMM","wasted","region",23,0.00615875193696988,0.0120627659888261,0.974371675461123,0.928861788617886,12
3,"MCAR",0.5,"MI-PMM","wasted","wealth",5,0.00178262631685726,0.00349756295035554,0.9796,0.972,0
3,"MCAR",0.5,"MI-RF","stunted","region",23,0.0195240235795068,0.037263883005041,0.930608695652174,0.852,0
3,"MCAR",0.5,"MI-RF","stunted","wealth",5,0.00737807402673193,0.0152444861170508,0.9452,0.906,0
3,"MCAR",0.5,"MI-RF","wasted","region",23,0.00663094451389865,0.0171445047104916,0.963302400706492,0.908,46
3,"MCAR",0.5,"MI-RF","wasted","wealth",5,0.00346141115473194,0.00737693686587342,0.9624,0.918,0
4,"MAR",0.1,"Complete data","stunted","region",23,0.00165664550318965,0.0047851009272688,0.927130434782609,0.898,0
4,"MAR",0.1,"Complete data","stunted","wealth",5,0.00049966185906587,0.00147401417000287,0.9448,0.928,0
4,"MAR",0.1,"Complete data","wasted","region",23,0.000888600042073254,0.00239173481061408,0.917588415502809,0.62,27
4,"MAR",0.1,"Complete data","wasted","wealth",5,0.000460622096597525,0.00144478648252658,0.9476,0.932,0
4,"MAR",0.1,"CCA","stunted","region",23,0.00194578514730223,0.00535560079776182,0.93,0.908,0
4,"MAR",0.1,"CCA","stunted","wealth",5,0.000832712965441218,0.00129949755195274,0.9376,0.918,0
4,"MAR",0.1,"CCA","wasted","region",23,0.0012475148250472,0.0038317976396417,0.923101262654819,0.644,32
4,"MAR",0.1,"CCA","wasted","wealth",5,0.000531683946641579,0.00122109891090207,0.9432,0.936,0
4,"MAR",0.1,"IPW","stunted","region",23,0.00168908420700838,0.00471838347811243,0.93095652173913,0.904,0
4,"MAR",0.1,"IPW","stunted","wealth",5,0.000473467503240299,0.001217290049847,0.9392,0.922,0
4,"MAR",0.1,"IPW","wasted","region",23,0.000940362762108938,0.00262888750489154,0.921675610239906,0.646,32
4,"MAR",0.1,"IPW","wasted","wealth",5,0.000415916665965604,0.00126785344302098,0.9472,0.938,0
4,"MAR",0.1,"MI-PMM","stunted","region",23,0.00315634995108126,0.0123640165422354,0.936347826086957,0.914,0
4,"MAR",0.1,"MI-PMM","stunted","wealth",5,0.00186252468661744,0.00460388558200009,0.9468,0.936,0
4,"MAR",0.1,"MI-PMM","wasted","region",23,0.00138456477183023,0.00348239258407626,0.941148038908529,0.706,32
4,"MAR",0.1,"MI-PMM","wasted","wealth",5,0.000711047497755855,0.00157476349395212,0.9556,0.946,0
4,"MAR",0.1,"MI-RF","stunted","region",23,0.00399294085949329,0.00963085867238311,0.936,0.908,0
4,"MAR",0.1,"MI-RF","stunted","wealth",5,0.00164968022916576,0.00295273696600684,0.9464,0.934,0
4,"MAR",0.1,"MI-RF","wasted","region",23,0.00135493870729784,0.00480420108494742,0.937327502368289,0.686,32
4,"MAR",0.1,"MI-RF","wasted","wealth",5,0.000323883244994877,0.000631292271529457,0.9544,0.944,0
5,"MAR",0.3,"Complete data","stunted","region",23,0.000940528527519984,0.00326562581252893,0.927130434782609,0.902,0
5,"MAR",0.3,"Complete data","stunted","wealth",5,0.00024177779953819,0.000734571737425083,0.9424,0.93,0
5,"MAR",0.3,"Complete data","wasted","region",23,0.000906910065689341,0.00510426727665574,0.91571716626159,0.582,17
5,"MAR",0.3,"Complete data","wasted","wealth",5,0.000294778264279355,0.000435198975131765,0.9468,0.926,0
5,"MAR",0.3,"CCA","stunted","region",23,0.00382154463479757,0.0133950975227086,0.931217391304348,0.902,0
5,"MAR",0.3,"CCA","stunted","wealth",5,0.00251988892846068,0.0045129103066206,0.9408,0.934,0
5,"MAR",0.3,"CCA","wasted","region",23,0.00196813712160878,0.00607783976040376,0.929996113501529,0.682,48
5,"MAR",0.3,"CCA","wasted","wealth",5,0.00106665409047599,0.00166544550287756,0.9464,0.936,0
5,"MAR",0.3,"IPW","stunted","region",23,0.00130514730735045,0.0031799692782955,0.931130434782609,0.898,0
5,"MAR",0.3,"IPW","stunted","wealth",5,0.000536520350358405,0.000929085194921964,0.9436,0.938,0
5,"MAR",0.3,"IPW","wasted","region",23,0.000985016990668057,0.00604236829127368,0.928995532908275,0.728,48
5,"MAR",0.3,"IPW","wasted","wealth",5,0.000469779251233171,0.000826525816057869,0.9444,0.932,0
