"analysis","zscore","n_resp","p_min","p_max","adj_factor_max","ess_design","ess_ipw"
"Main (flagged = missing)","haz",6402,0.140020009920853,0.998125977810203,7.14183637442428,4727.11854194738,4569.0337294431
"Main (flagged = missing)","whz",6478,0.308765213654323,0.998327821184258,3.23870680950331,4784.85944826852,4728.27858634306
"Sensitivity (flagged excluded)","haz",6402,0.118451361459691,0.999164610600343,8.44228371609134,4727.11854194738,4574.43434250222
"Sensitivity (flagged excluded)","whz",6478,0.234198310744998,0.999315433547557,4.26988562308133,4784.85944826852,4724.65020243455
