"scenario","method","n_reps","mean_seconds","mean_miss_rate","mean_miss_rate_weighted","n_errors","label"
1,"CCA",500,0.437119999999943,0.0999780809812455,0.100213320258086,0,"MCAR 10%"
1,"Complete data",500,0.480979999999991,0.0999780809812455,0.100213320258086,0,"MCAR 10%"
1,"IPW",500,0.828180000000024,0.0999780809812455,0.100213320258086,0,"MCAR 10%"
1,"MI-PMM",500,13.69034,0.0999780809812455,0.100213320258086,0,"MCAR 10%"
1,"MI-RF",500,55.5864400000001,0.0999780809812455,0.100213320258086,0,"MCAR 10%"
2,"CCA",500,0.416259999999976,0.300225648325612,0.30020334255497,0,"MCAR 30%"
2,"Complete data",500,0.48176,0.300225648325612,0.30020334255497,0,"MCAR 30%"
2,"IPW",500,0.767840000000046,0.300225648325612,0.30020334255497,0,"MCAR 30%"
2,"MI-PMM",500,12.49782,0.300225648325612,0.30020334255497,0,"MCAR 30%"
2,"MI-RF",500,46.1584,0.300225648325612,0.30020334255497,0,"MCAR 30%"
3,"CCA",500,0.388359999999974,0.500024293563564,0.500102841331677,0,"MCAR 50%"
3,"Complete data",500,0.48274000000003,0.500024293563564,0.500102841331677,0,"MCAR 50%"
3,"IPW",500,1.34040000000011,0.500024293563564,0.500102841331677,0,"MCAR 50%"
3,"MI-PMM",500,11.8251599999999,0.500024293563564,0.500102841331677,0,"MCAR 50%"
3,"MI-RF",500,56.35408,0.500024293563564,0.500102841331677,0,"MCAR 50%"
4,"CCA",500,0.437579999999947,0.0999660716074881,0.102855103969543,0,"MAR 10%"
4,"Complete data",500,0.482279999999939,0.0999660716074881,0.102855103969543,0,"MAR 10%"
4,"IPW",500,0.843099999999966,0.0999660716074881,0.102855103969543,0,"MAR 10%"
4,"MI-PMM",500,13.6388,0.0999660716074881,0.102855103969543,0,"MAR 10%"
4,"MI-RF",500,48.0663199999999,0.0999660716074881,0.102855103969543,0,"MAR 10%"
5,"CCA",500,0.412880000000086,0.300087384031779,0.307786149906882,0,"MAR 30%"
5,"Complete data",500,0.483279999999846,0.300087384031779,0.307786149906882,0,"MAR 30%"
5,"IPW",500,0.771540000000062,0.300087384031779,0.307786149906882,0,"MAR 30%"
5,"MI-PMM",500,12.5505199999999,0.300087384031779,0.307786149906882,0,"MAR 30%"
5,"MI-RF",500,54.0383200000001,0.300087384031779,0.307786149906882,0,"MAR 30%"
6,"CCA",500,0.387479999999988,0.499742510173289,0.510320882838166,0,"MAR 50%"
6,"Complete data",500,0.487940000000076,0.499742510173289,0.510320882838166,0,"MAR 50%"
6,"IPW",500,0.754219999999899,0.499742510173289,0.510320882838166,0,"MAR 50%"
6,"MI-PMM",500,11.3799,0.499742510173289,0.510320882838166,0,"MAR 50%"
6,"MI-RF",500,41.6909800000002,0.499742510173289,0.510320882838166,0,"MAR 50%"
7,"CCA",500,0.439220000000059,0.100356580115433,0.100174031755404,0,"MAR-strong 10%"
7,"Complete data",500,0.486460000000034,0.100356580115433,0.100174031755404,0,"MAR-strong 10%"
7,"IPW",500,0.865099999999917,0.100356580115433,0.100174031755404,0,"MAR-strong 10%"
7,"MI-PMM",500,13.8039200000001,0.100356580115433,0.100174031755404,0,"MAR-strong 10%"
7,"MI-RF",500,55.9313999999999,0.100356580115433,0.100174031755404,0,"MAR-strong 10%"
8,"CCA",500,0.415160000000001,0.300185643469713,0.302359315247142,0,"MAR-strong 30%"
8,"Complete data",500,0.480220000000053,0.300185643469713,0.302359315247142,0,"MAR-strong 30%"
8,"IPW",500,0.775000000000037,0.300185643469713,0.302359315247142,0,"MAR-strong 30%"
8,"MI-PMM",500,12.5352999999999,0.300185643469713,0.302359315247142,0,"MAR-strong 30%"
8,"MI-RF",500,45.0522600000001,0.300185643469713,0.302359315247142,0,"MAR-strong 30%"
9,"CCA",500,0.386339999999945,0.500190826559247,0.505895890539119,0,"MAR-strong 50%"
9,"Complete data",500,0.482060000000093,0.500190826559247,0.505895890539119,0,"MAR-strong 50%"
9,"IPW",500,8.31435999999999,0.500190826559247,0.505895890539119,0,"MAR-strong 50%"
9,"MI-PMM",500,11.3608400000001,0.500190826559247,0.505895890539119,0,"MAR-strong 50%"
9,"MI-RF",500,41.5867199999999,0.500190826559247,0.505895890539119,0,"MAR-strong 50%"
10,"CCA",500,0.436280000000107,0.100252212256357,0.102054439021931,0,"MNAR 10%"
10,"Complete data",500,0.483099999999984,0.100252212256357,0.102054439021931,0,"MNAR 10%"
10,"IPW",500,0.85186,0.100252212256357,0.102054439021931,0,"MNAR 10%"
10,"MI-PMM",500,13.6936200000001,0.100252212256357,0.102054439021931,0,"MNAR 10%"
10,"MI-RF",500,47.8899199999999,0.100252212256357,0.102054439021931,0,"MNAR 10%"
11,"CCA",500,0.40917999999993,0.300043666147239,0.307931855065008,0,"MNAR 30%"
11,"Complete data",500,0.478059999999979,0.300043666147239,0.307931855065008,0,"MNAR 30%"
11,"IPW",500,0.76452000000008,0.300043666147239,0.307931855065008,0,"MNAR 30%"
11,"MI-PMM",500,12.4082399999999,0.300043666147239,0.307931855065008,0,"MNAR 30%"
11,"MI-RF",500,44.22362,0.300043666147239,0.307931855065008,0,"MNAR 30%"
12,"CCA",500,0.379439999999939,0.500202644905682,0.511325249309655,0,"MNAR 50%"
12,"Complete data",500,0.475879999999999,0.500202644905682,0.511325249309655,0,"MNAR 50%"
12,"IPW",500,0.735579999999899,0.500202644905682,0.511325249309655,0,"MNAR 50%"
12,"MI-PMM",500,11.2402800000001,0.500202644905682,0.511325249309655,0,"MNAR 50%"
12,"MI-RF",500,41.1922999999999,0.500202644905682,0.511325249309655,0,"MNAR 50%"
13,"MI-RF (ntree=50)",200,179.0008,0.300832380980809,0.308347078290668,0,"MAR 30% (ntree=50)"
