"outcome","method","n_sim","bias","emp_se","mod_se","se_ratio","coverage"
"Stunting","MI-RF",500,"-0.09 (0.05)","1.04","0.97","0.93","93.4 (1.1)"
"Stunting","MI-RF (ntree=50)",200,"-0.10 (0.07)","0.97","0.97","0.99","96.5 (1.3)"
"Wasting","MI-RF",500,"-0.15 (0.02)","0.48","0.48","1.00","94.0 (1.1)"
"Wasting","MI-RF (ntree=50)",200,"-0.18 (0.03)","0.44","0.48","1.09","97.0 (1.2)"
