"row_group","method","spearman","topk","topk_exact","rank1"
"Wasting — MNAR 10%","IPW","0.86","0.75","0.0","25.0"
"Wasting — MNAR 10%","MI-PMM","0.87","0.76","0.0","30.0"
"Wasting — MNAR 10%","MI-RF","0.86","0.73","5.0","25.0"
"Wasting — MNAR 30%","Complete data","0.88","0.72","5.0","70.0"
"Wasting — MNAR 30%","CCA","0.77","0.71","5.0","10.0"
"Wasting — MNAR 30%","IPW","0.76","0.72","10.0","10.0"
"Wasting — MNAR 30%","MI-PMM","0.82","0.76","15.0","10.0"
"Wasting — MNAR 30%","MI-RF","0.77","0.71","15.0","10.0"
"Wasting — MNAR 50%","Complete data","0.88","0.71","5.0","70.0"
"Wasting — MNAR 50%","CCA","0.70","0.66","5.0","15.0"
"Wasting — MNAR 50%","IPW","0.68","0.68","5.0","20.0"
"Wasting — MNAR 50%","MI-PMM","0.78","0.73","15.0","20.0"
"Wasting — MNAR 50%","MI-RF","0.72","0.70","0.0","15.0"
