"scenario","mechanism","rate","method","outcome","n_sim","theta","mean_est","bias","bias_mcse","rel_bias","emp_se","emp_se_mcse","mod_se","mod_se_mcse","se_ratio","rmse","rmse_mcse","coverage","coverage_mcse","ci_width","mean_fmi","label"
1,"MCAR",0.1,"Complete data","stunted",500,0.396388083090866,0.395967753536348,-0.000420329554517596,0.000449729108128945,-0.00106039906961896,0.0100562485723668,0.000318324986363173,0.00925955646315728,2.04767770821769e-05,0.920776410459993,0.0100549766788855,0.000318105792155533,0.928,0.0115599307956406,0.036315762480182,NA,"MCAR 10%"
1,"MCAR",0.1,"CCA","stunted",500,0.396388083090866,0.395890604763014,-0.00049747832785163,0.000465070844370374,-0.00125502846597331,0.0103993002236538,0.000329184096639932,0.00958061889331723,2.12224933329856e-05,0.92127534423187,0.0104007999181835,0.000331260269278047,0.928,0.0115599307956406,0.0375738904769099,NA,"MCAR 10%"
1,"MCAR",0.1,"IPW","stunted",500,0.396388083090866,0.395902907845511,-0.000485175245355296,0.000463514837794855,-0.00122399049328654,0.0103645068588908,0.00032808273192286,0.00958170230570273,2.11325196149109e-05,0.924472571262123,0.0103654981280132,0.000329744220327414,0.932,0.0112584190719657,0.0375785184503547,NA,"MCAR 10%"
1,"MCAR",0.1,"MI-PMM","stunted",500,0.396388083090866,0.396102796381346,-0.000285286709519994,0.000456738609024429,-0.00071971565667527,0.0102129857772732,0.000323286415891831,0.0093476750893364,1.98650346446558e-05,0.915273485461774,0.0102067554509962,0.000326364592385159,0.924,0.0118510759005248,0.0366997460147352,0.0742523443980396,"MCAR 10%"
1,"MCAR",0.1,"MI-RF","stunted",500,0.396388083090866,0.395741008783381,-0.000647074307484619,0.000463413005336388,-0.00163242623854635,0.0103622298158964,0.000328010653386322,0.0093615243277602,2.04489474587973e-05,0.903427591752403,0.0103720663468445,0.000328597426342135,0.922,0.0119929979571415,0.0367477737795297,0.0687953203899118,"MCAR 10%"
2,"MCAR",0.3,"Complete data","stunted",500,0.396388083090866,0.396041856273445,-0.000346226817421413,0.000415470704776558,-0.000873454153116016,0.00929020738540131,0.000294076376293562,0.00928106940734928,2.08961803467229e-05,0.999016385999479,0.00928736832296099,0.000282912116082542,0.944,0.0102824121683582,0.0363985091027556,NA,"MCAR 30%"
2,"MCAR",0.3,"CCA","stunted",500,0.396388083090866,0.396501228828162,0.000113145737295595,0.000474101042828506,0.000285441823612184,0.0106012215996808,0.000335575806113665,0.0104860792928282,2.38319458795625e-05,0.989138769926659,0.0105912194559737,0.000304466594444562,0.956,0.00917213170424412,0.0411191316128174,NA,"MCAR 30%"
2,"MCAR",0.3,"IPW","stunted",500,0.396388083090866,0.396433299756885,4.52166660191988e-05,0.000471418799151293,0.000114071708883422,0.0105412448077361,0.000333677273938321,0.0104848686979401,2.35622433103742e-05,0.994651854612597,0.0105307953621422,0.000292466299870803,0.954,0.00936845771725528,0.041115498862156,NA,"MCAR 30%"
2,"MCAR",0.3,"MI-PMM","stunted",500,0.396388083090866,0.397064737461767,0.000676654370900698,0.000456625409186157,0.00170705023628469,0.010210454551939,0.000323206291353919,0.00978073278840901,2.76794274212332e-05,0.957913552100535,0.0102226579973389,0.000287740898800639,0.936,0.0109456840809517,0.0386474234225842,0.231879620981721,"MCAR 30%"
2,"MCAR",0.3,"MI-RF","stunted",500,0.396388083090866,0.395923054717184,-0.000465028373681842,0.000466941162377333,-0.00117316436471992,0.0104411218056848,0.000330507935687257,0.00965892800256249,2.53845087918031e-05,0.925085271709362,0.010441036438034,0.000295320377107034,0.946,0.0101078187557949,0.0381022913139697,0.200099392905487,"MCAR 30%"
3,"MCAR",0.5,"Complete data","stunted",500,0.396388083090866,0.395925131181082,-0.000462951909784126,0.000392581440273653,-0.00116792590275223,0.00877838787156663,0.000277875012674774,0.00925339915920305,2.0646985306014e-05,1.0541114490025,0.00878181632164972,0.000289859001941389,0.962,0.00855055553750749,0.0362908801678565,NA,"MCAR 50%"
3,"MCAR",0.5,"CCA","stunted",500,0.396388083090866,0.395696636529253,-0.000691446561613129,0.000499288943588489,-0.00174436768184735,0.0111644401827792,0.000353404178840742,0.0118030640811121,2.54822835434921e-05,1.05720160508522,0.0111746827021277,0.000336003222991386,0.966,0.00810481338464989,0.0462822405961513,NA,"MCAR 50%"
3,"MCAR",0.5,"IPW","stunted",500,0.396388083090866,0.396030385995409,-0.000357697095456577,0.000492243999879858,-0.000902391143213507,0.0110069104524776,0.000348417662359055,0.0118225104225535,2.53503565308007e-05,1.0740989011946,0.0110017144466461,0.000324553156669979,0.97,0.00762889244910426,0.0463589697147945,NA,"MCAR 50%"
3,"MCAR",0.5,"MI-PMM","stunted",500,0.396388083090866,0.397268952190752,0.000880869099885662,0.000477879434233098,0.00222223910723304,0.0106857089999435,0.000338250208038293,0.0106800002528792,4.45647187726992e-05,0.999465758700307,0.0107112995686305,0.000324251107634997,0.944,0.0102824121683582,0.0428142153731418,0.413109693153865,"MCAR 50%"
3,"MCAR",0.5,"MI-RF","stunted",500,0.396388083090866,0.394996038052322,-0.00139204503854368,0.000480155560850243,-0.00351182363427553,0.0107366047383568,0.00033986128448691,0.0100141056020058,3.52528287466882e-05,0.932706926075999,0.0108158181074954,0.000316258263615447,0.938,0.0107848041243223,0.0398284778625971,0.323242879389095,"MCAR 50%"
4,"MAR",0.1,"Complete data","stunted",500,0.396388083090866,0.396088954172031,-0.000299128918834601,0.000447738364439819,-0.000754636507995198,0.0100117341902201,0.000316915908217598,0.00924794122927633,2.06872059359768e-05,0.923710223780224,0.0100061895825891,0.000352106281255604,0.94,0.0106207344378814,0.036269041376175,NA,"MAR 10%"
4,"MAR",0.1,"CCA","stunted",500,0.396388083090866,0.396278354585933,-0.000109728504932904,0.000458350024228523,-0.000276820897533771,0.0102490181166365,0.000324426999664588,0.00960363065681744,2.13338170299017e-05,0.937029337593668,0.0102393519304314,0.000357397096622297,0.944,0.0102824121683582,0.0376636637999868,NA,"MAR 10%"
4,"MAR",0.1,"IPW","stunted",500,0.396388083090866,0.396149183258811,-0.000238899832054884,0.000457871188505856,-0.000602691761548543,0.0102383110243771,0.000324088072581299,0.00961919530991604,2.1131375745158e-05,0.939529507065472,0.0102308572337011,0.000358506697059888,0.94,0.0106207344378814,0.037725675638983,NA,"MAR 10%"
4,"MAR",0.1,"MI-PMM","stunted",500,0.396388083090866,0.395741646002527,-0.000646437088338558,0.000451229638955239,-0.00163081867471372,0.010089801461666,0.000319387084515558,0.00936360795105189,2.0026150374959e-05,0.928026977203353,0.0101004141626938,0.00035171984665375,0.942,0.0104533248299285,0.0367654803013975,0.078514321841843,"MAR 10%"
4,"MAR",0.1,"MI-RF","stunted",500,0.396388083090866,0.395827729088429,-0.00056035400243748,0.000457986941505902,-0.00141364997168451,0.0102408993401442,0.000324170004285286,0.0093555970088658,1.98342004358563e-05,0.91355228658405,0.0102459876958946,0.000353428582210796,0.938,0.0107848041243223,0.0367284853670253,0.0713925577714968,"MAR 10%"
5,"MAR",0.3,"Complete data","stunted",500,0.396388083090866,0.396514073915376,0.000125990824510425,0.000413301036582076,0.000317847155060772,0.0092416921296865,0.000292540652708103,0.0092731822369186,2.09295601598007e-05,1.00340739626361,0.00923330544068214,0.000301705274283441,0.952,0.00955991631762538,0.0363675799499955,NA,"MAR 30%"
5,"MAR",0.3,"CCA","stunted",500,0.396388083090866,0.397080125408032,0.000692042317166297,0.000470987888059195,0.00174587064214959,0.0105316093427942,0.000333372268625042,0.0105310275082259,2.43451683768263e-05,0.99994475349879,0.0105438080562613,0.000336930790467843,0.946,0.0101078187557949,0.041293112633133,NA,"MAR 30%"
5,"MAR",0.3,"IPW","stunted",500,0.396388083090866,0.396523919679238,0.000135836588371629,0.000478160757450006,0.000342685852996471,0.01069199957831,0.000338449332817115,0.0108374669746585,2.49720071885036e-05,1.01360525646144,0.0106821659250995,0.000342827299423625,0.948,0.00992935043192656,0.0424937653292145,NA,"MAR 30%"
5,"MAR",0.3,"MI-PMM","stunted",500,0.396388083090866,0.395947517431601,-0.000440565659265146,0.000450413827445557,-0.0011114503136164,0.0100715593617413,0.000318809640932298,0.00997952810538218,3.14469212236789e-05,0.990862263423807,0.0100711237437164,0.000325922733082003,0.952,0.00955991631762538,0.0395032672928025,0.262010360526853,"MAR 30%"
5,"MAR",0.3,"MI-RF","stunted",500,0.396388083090866,0.395533299268042,-0.000854783822824112,0.000465708541983536,-0.00215643168724668,0.010413559575775,0.000329635468544361,0.00969732208719991,2.64508819895126e-05,0.931220685552971,0.0104381987898248,0.000341637324386249,0.934,0.0111035129576184,0.0382755240291439,0.211051536748412,"MAR 30%"
6,"MAR",0.5,"Complete data","stunted",500,0.396388083090866,0.396544570971845,0.000156487880978606,0.000421661196528474,0.00039478452469706,0.00942863098911565,0.000298458098905888,0.00927591249632165,2.08374948400131e-05,0.983802686416479,0.00942049747206311,0.000300264285499166,0.948,0.00992935043192656,0.0363787722558562,NA,"MAR 50%"
6,"MAR",0.5,"CCA","stunted",500,0.396388083090866,0.397329875282312,0.000941792191445856,0.000527277917670229,0.00237593467518539,0.0117902926694517,0.000373215193142121,0.0119360255770652,2.59092298091968e-05,1.01236041476655,0.0118160886828397,0.000356797302396776,0.954,0.00936845771725528,0.046802187738743,NA,"MAR 50%"
6,"MAR",0.5,"IPW","stunted",500,0.396388083090866,0.396544995169221,0.000156912078355054,0.000591188211954802,0.000395854681431187,0.0132193702942749,0.000418451854921127,0.0129903428730885,2.90276320624326e-05,0.982674861503382,0.0132070764696634,0.000394525654954902,0.944,0.0102824121683582,0.0509260771605612,NA,"MAR 50%"
6,"MAR",0.5,"MI-PMM","stunted",500,0.396388083090866,0.396430857885283,4.27747944171664e-05,0.000542346854825618,0.000107911403601306,0.0121272443477329,0.000383881212147325,0.0113546540167492,5.85744411747867e-05,0.936293002034861,0.0121151865458902,0.000371110520146217,0.922,0.0119929979571415,0.0457938763062703,0.47430010587942,"MAR 50%"
6,"MAR",0.5,"MI-RF","stunted",500,0.396388083090866,0.395371751695233,-0.00101633139563251,0.00053519141481819,-0.00256398070221382,0.0119672438450776,0.000378816484733386,0.0101450421677938,4.05428260215576e-05,0.847734223445835,0.0119983925966273,0.000378809757109258,0.886,0.0142129518397833,0.0403882276813586,0.340960709634829,"MAR 50%"
7,"MAR-strong",0.1,"Complete data","stunted",500,0.396388083090866,0.396304618332634,-8.34647582316217e-05,0.000412772401930137,-0.000210563237877383,0.00922987149951651,0.000292166477198162,0.00924535592217898,1.92739989951473e-05,1.00167764227956,0.00922101476019092,0.000285189081169296,0.946,0.0101078187557949,0.0362652391209772,NA,"MAR-strong 10%"
7,"MAR-strong",0.1,"CCA","stunted",500,0.396388083090866,0.389122991073956,-0.0072650920169095,0.000430222770901532,-0.0183282301532866,0.00962007361204143,0.00030451810924609,0.00956315039181536,2.11823471571531e-05,0.994082870618077,0.0120475012630278,0.000351167387438807,0.864,0.0153299706457645,0.0375055587987941,NA,"MAR-strong 10%"
7,"MAR-strong",0.1,"IPW","stunted",500,0.396388083090866,0.396356147129199,-3.19359616665627e-05,0.000430079594875272,-8.0567411153079e-05,0.00961687209876678,0.000304416767114164,0.0095941395708017,2.00751140083369e-05,0.997636182770072,0.00960730349326794,0.000309567043238299,0.956,0.00917213170424412,0.0376318007158831,NA,"MAR-strong 10%"
7,"MAR-strong",0.1,"MI-PMM","stunted",500,0.396388083090866,0.394788992226482,-0.00159909086438426,0.000430933129597093,-0.00403415474026168,0.00963595771535826,0.000305020911750954,0.00933858401240355,1.92261439017344e-05,0.969139164809665,0.00975823085003349,0.00031152778153964,0.95,0.00974679434480897,0.0366699960761309,0.0767700329969764,"MAR-strong 10%"
7,"MAR-strong",0.1,"MI-RF","stunted",500,0.396388083090866,0.394013682679501,-0.0023744004113645,0.000429074589536849,-0.00599009029951135,0.00959439949622214,0.000303705409310398,0.00932983498676174,1.9458763059493e-05,0.972425110131741,0.00987452145692182,0.00031551499879965,0.94,0.0106207344378814,0.0366278024018947,0.0697552348623552,"MAR-strong 10%"
8,"MAR-strong",0.3,"Complete data","stunted",500,0.396388083090866,0.396358952854354,-2.91302365115209e-05,0.000410786980147117,-7.34891833386506e-05,0.0091854761188081,0.000290761165977293,0.00929229456735754,2.14528698341155e-05,1.01162905952482,0.00917633228238901,0.00029287867227501,0.948,0.00992935043192656,0.0364406700156428,NA,"MAR-strong 30%"
8,"MAR-strong",0.3,"CCA","stunted",500,0.396388083090866,0.374629815490207,-0.0217582676006589,0.000464610718435326,-0.0548913262754954,0.010389011494964,0.000328858412624038,0.0104455067871948,2.76891287260219e-05,1.00543798534231,0.0241068020630007,0.000445729639507494,0.442,0.0222097275985096,0.0409417105299832,NA,"MAR-strong 30%"
8,"MAR-strong",0.3,"IPW","stunted",500,0.396388083090866,0.396268088402098,-0.000119994688767722,0.000480286536315079,-0.000302720222646589,0.0107395334387844,0.000339953990879056,0.0107908509400294,2.45323904228145e-05,1.00477837343098,0.0107294595414278,0.000352341936529921,0.96,0.00876356092008266,0.0423124285858082,NA,"MAR-strong 30%"
8,"MAR-strong",0.3,"MI-PMM","stunted",500,0.396388083090866,0.391198149099684,-0.00518993399118223,0.000466918360265634,-0.0130930626135713,0.0104406119349669,0.000330491796011696,0.00990945804409248,3.05058523671631e-05,0.949126172471217,0.0116500549206538,0.000365556068995011,0.918,0.0122699633251286,0.0392311756630337,0.262609721410507,"MAR-strong 30%"
8,"MAR-strong",0.3,"MI-RF","stunted",500,0.396388083090866,0.387834510063904,-0.00855357302696175,0.000468271125836839,-0.0215787845090211,0.0104708606927153,0.000331449303707379,0.00961781275789169,2.54198746731644e-05,0.918531249736032,0.0135123372266431,0.000396476682308028,0.842,0.0163117135825762,0.0379528513221083,0.207478970586806,"MAR-strong 30%"
9,"MAR-strong",0.5,"Complete data","stunted",500,0.396388083090866,0.396450639230002,6.25561391355833e-05,0.000394539463331649,0.000157815388010147,0.00882217059815852,0.000279260930668449,0.00926983783505204,2.05409290097426e-05,1.05074343461313,0.008813566017534,0.000286164091675972,0.954,0.00936845771725528,0.0363564364309219,NA,"MAR-strong 50%"
9,"MAR-strong",0.5,"CCA","stunted",500,0.396388083090866,0.359544727649764,-0.0368433554411017,0.00052352031447045,-0.092947686907772,0.0117062701075799,0.000370555505419651,0.0117913859522785,3.2900128674467e-05,1.00727096196451,0.0386548253969839,0.000514278746127866,0.11,0.0139928553197694,0.0462025140519735,NA,"MAR-strong 50%"
