"scenario","mechanism","rate","method","outcome","n_sim","theta","mean_est","bias","bias_mcse","rel_bias","emp_se","emp_se_mcse","mod_se","mod_se_mcse","se_ratio","rmse","rmse_mcse","coverage","coverage_mcse","ci_width","mean_fmi","label"
1,"MCAR",0.1,"Complete data","stunted",20,0.396388083090866,0.394801032933821,-0.00158705015704486,0.00234054728645712,-0.0040037786824208,0.0104672456741416,0.00169801146858408,0.00923963785789309,0.000106546452491283,0.882719116903772,0.0103249115542783,0.00186555983019847,0.9,0.0670820393249937,0.0362370226467836,NA,"MCAR 10%"
1,"MCAR",0.1,"CCA","stunted",20,0.396388083090866,0.394192863114682,-0.00219521997618394,0.00215552996067835,-0.00553805744881769,0.0096398230392285,0.00156378579287271,0.00955324487904068,9.96155656549297e-05,0.991018698181959,0.00964877554719226,0.00189714369121581,0.9,0.0670820393249937,0.0374746030033423,NA,"MCAR 10%"
1,"MCAR",0.1,"IPW","stunted",20,0.396388083090866,0.394416488624065,-0.00197159446680112,0.00217428861913471,-0.0049738994457842,0.00972371431017872,0.00157739475406672,0.00955672329932678,0.000104360262426105,0.982826417403365,0.00968040669229328,0.00190548202028293,0.9,0.0670820393249937,0.0374847256521113,NA,"MCAR 10%"
1,"MCAR",0.1,"MI-PMM","stunted",20,0.396388083090866,0.394301925037922,-0.00208615805294382,0.00220781330774273,-0.0052629181903675,0.0098736412754828,0.00160171611944418,0.00939684596973957,0.000110138753303107,0.951710286768554,0.00984715227144041,0.00186685357382718,0.9,0.0670820393249937,0.036897146433845,0.0876589346780704,"MCAR 10%"
1,"MCAR",0.1,"MI-RF","stunted",20,0.396388083090866,0.39418293354018,-0.00220514955068568,0.00221096830751237,-0.0055631075825763,0.00988775086339065,0.00160400499684616,0.0093008747076697,9.25121943119891e-05,0.940646142502047,0.00988645137653282,0.00185879641153623,0.9,0.0670820393249937,0.0365140134863657,0.0637712386252015,"MCAR 10%"
2,"MCAR",0.3,"Complete data","stunted",20,0.396388083090866,0.395090138711007,-0.00129794437985914,0.00188628408652501,-0.00327442835752861,0.00843571888469203,0.00136845430573435,0.00941639418518377,8.88884647232261e-05,1.11625272414795,0.00832393807399359,0.00104108590162503,1,0,0.0369443339452672,NA,"MCAR 30%"
2,"MCAR",0.3,"CCA","stunted",20,0.396388083090866,0.393929299286394,-0.00245878380447173,0.00243893183682514,-0.00620297105124649,0.0109072347592589,0.00176938712325382,0.010653778661139,0.000151685608274895,0.976762570558528,0.0109116909498958,0.00114522015448874,1,0,0.041751247319715,NA,"MCAR 30%"
2,"MCAR",0.3,"IPW","stunted",20,0.396388083090866,0.394368728126326,-0.0020193549645402,0.00241816278938693,-0.00509438868291429,0.0108143527554593,0.00175431967259999,0.0106611973219111,0.000147083953703572,0.985837762369006,0.0107322182570216,0.0011634404585111,1,0,0.041784224604976,NA,"MCAR 30%"
2,"MCAR",0.3,"MI-PMM","stunted",20,0.396388083090866,0.395540471752146,-0.000847611338719634,0.00239628903412097,-0.00213833708649947,0.0107165303480636,0.00173845078265383,0.00996645950460309,0.000135358788696407,0.930008051197647,0.0104795165226,0.00130583716899384,0.95,0.0487339717240448,0.039422636915197,0.249555506011118,"MCAR 30%"
2,"MCAR",0.3,"MI-RF","stunted",20,0.396388083090866,0.39355530509301,-0.00283277799785592,0.00244544403331944,-0.00714647619011933,0.010936358187347,0.00177411156714649,0.00963190328130855,0.000131085820753766,0.880723099619424,0.0110294317653718,0.00113529956346475,0.95,0.0487339717240448,0.0379351490611369,0.176518571161009,"MCAR 30%"
3,"MCAR",0.5,"Complete data","stunted",20,0.396388083090866,0.396517128343723,0.000129045252857229,0.00163509380027257,0.000325552806358328,0.00731236177399585,0.00118622171879987,0.00929892683087245,0.000101513470386194,1.27167215166257,0.00712837678966193,0.00112812680528467,1,0,0.0364735872328551,NA,"MCAR 50%"
3,"MCAR",0.5,"CCA","stunted",20,0.396388083090866,0.394151339647518,-0.00223674344334807,0.00246435583759027,-0.00564281202882511,0.0110209343472005,0.0017878316319917,0.0117574053859567,0.000110960106554375,1.06682473695556,0.0109722816871606,0.00154586794294004,1,0,0.0461159896098322,NA,"MCAR 50%"
3,"MCAR",0.5,"IPW","stunted",20,0.396388083090866,0.394926822367535,-0.00146126072333108,0.00220313963746754,-0.00368643959207045,0.00985273998660333,0.00159832548265868,0.0117953118622513,0.000109774929443074,1.19716057444825,0.00971380172141585,0.00133263114130495,1,0,0.0462657762985603,NA,"MCAR 50%"
3,"MCAR",0.5,"MI-PMM","stunted",20,0.396388083090866,0.396765023982627,0.000376940891760991,0.0023630680365564,0.000950939011137181,0.0105679615303941,0.00171434973791577,0.0104396040644945,0.000187841068705143,0.987854094138163,0.0103072695122606,0.00163071532137547,0.95,0.0487339717240448,0.0417519072397596,0.38675320720947,"MCAR 50%"
3,"MCAR",0.5,"MI-RF","stunted",20,0.396388083090866,0.393752809668568,-0.00263527342229847,0.00215969376314414,-0.00664821556124928,0.00965844412994526,0.00156680653267179,0.00997698263156892,0.000151756847053893,1.03298031208112,0.00977578292879824,0.00132202020807412,0.95,0.0487339717240448,0.0396698537233418,0.314773846331977,"MCAR 50%"
4,"MAR",0.1,"Complete data","stunted",20,0.396388083090866,0.396719809064649,0.000331725973783115,0.00271314871308968,0.000836871712177764,0.0121335699110692,0.0019683249543631,0.00931112323285393,9.88383372685912e-05,0.767385303838699,0.0118309925606073,0.00141119036052873,0.9,0.0670820393249937,0.0365234733801058,NA,"MAR 10%"
4,"MAR",0.1,"CCA","stunted",20,0.396388083090866,0.396309631604715,-7.84514861511543e-05,0.00274257361668397,-0.000197915854430897,0.0122651620804056,0.00198967202308254,0.00962842010599751,0.000104278759347827,0.785021840141804,0.011954858654596,0.00155432374688493,0.95,0.0487339717240448,0.0377666083257795,NA,"MAR 10%"
4,"MAR",0.1,"IPW","stunted",20,0.396388083090866,0.39610752719568,-0.00028055589518633,0.00280380367974178,-0.000707780852034385,0.0125389912469333,0.00203409297962372,0.00963668986556947,9.98767718743004e-05,0.768537889196336,0.0122247166849159,0.00149852717271075,0.95,0.0487339717240448,0.0378026049932347,NA,"MAR 10%"
4,"MAR",0.1,"MI-PMM","stunted",20,0.396388083090866,0.395941536202842,-0.000446546888024479,0.00272707513517821,-0.00112653963898838,0.0121958507640158,0.00197842824283734,0.00939922263915836,9.74828534766367e-05,0.77069019792297,0.0118954294242975,0.00152808449317052,0.95,0.0487339717240448,0.0369070484163508,0.0758463449731493,"MAR 10%"
4,"MAR",0.1,"MI-RF","stunted",20,0.396388083090866,0.396044178071688,-0.000343905019178414,0.00269875684603316,-0.000867596766524334,0.0120692075249462,0.00195788399661886,0.00940956227816074,9.54920713617392e-05,0.779633812635326,0.0117686342635168,0.00148846161455043,0.95,0.0487339717240448,0.0369477434736076,0.0738398400249894,"MAR 10%"
5,"MAR",0.3,"Complete data","stunted",20,0.396388083090866,0.399384560395304,0.00299647730443786,0.00243621148534921,0.00755945355640514,0.0108950689776132,0.00176741357286609,0.00932181912813162,9.76849572950608e-05,0.855599826608331,0.0110338695778776,0.00105653519220716,1,0,0.0365684681877903,NA,"MAR 30%"
5,"MAR",0.3,"CCA","stunted",20,0.396388083090866,0.400134896236149,0.00374681314528286,0.00255071788316633,0.00945238594477109,0.0114071571563686,0.00185048524496806,0.0104725502558184,0.000107230665911198,0.918068376919974,0.0117326757995033,0.00140972615103529,0.95,0.0487339717240448,0.0410768581317172,NA,"MAR 30%"
5,"MAR",0.3,"IPW","stunted",20,0.396388083090866,0.399381099629342,0.00299301653847628,0.00260640005396302,0.00755072280462623,0.0116561753944409,0.00189088133743563,0.0107207852691839,9.99507105080459e-05,0.919751539968838,0.0117486702049323,0.00205994881145219,0.95,0.0487339717240448,0.042056224963038,NA,"MAR 30%"
5,"MAR",0.3,"MI-PMM","stunted",20,0.396388083090866,0.39835079532227,0.00196271223140382,0.00225740681232978,0.00495149151836105,0.010095430170481,0.00163769502918181,0.0100173451094257,0.000145218650619971,0.992265306209178,0.0100336466010124,0.00195115907344026,0.95,0.0487339717240448,0.0396934963413041,0.267968287137216,"MAR 30%"
5,"MAR",0.3,"MI-RF","stunted",20,0.396388083090866,0.398275847952739,0.00188776486187336,0.00267720798210224,0.00476241577989271,0.0119728380757713,0.00194225080762012,0.00973134624547166,0.000146944496567933,0.812785254747944,0.0118213816951713,0.00162243948011053,0.9,0.0670820393249937,0.0384220406178843,0.213574138922106,"MAR 30%"
6,"MAR",0.5,"Complete data","stunted",20,0.396388083090866,0.39683811415003,0.000450031059163858,0.00247449834466058,0.00113532943688596,0.0110662930177435,0.00179518977998779,0.00929767603296363,0.00010882639819693,0.840179816136793,0.0107954725256027,0.00244319498284939,0.95,0.0487339717240448,0.0364644739260878,NA,"MAR 50%"
6,"MAR",0.5,"CCA","stunted",20,0.396388083090866,0.399206541382676,0.0028184582918101,0.00316680075824204,0.00711035071950942,0.0141623635332542,0.00229743873893498,0.0118824467849822,0.000134775600738365,0.839015801075961,0.0140885634806505,0.00159452878197642,0.95,0.0487339717240448,0.0465906834624492,NA,"MAR 50%"
6,"MAR",0.5,"IPW","stunted",20,0.396388083090866,0.400156589165702,0.00376850607483648,0.00331411155034722,0.00950711243751645,0.0148211574231872,0.00240430921999218,0.0130571025473611,0.000173293436744493,0.880977252622234,0.0149293338776662,0.00195222983095394,0.9,0.0670820393249937,0.051165390391389,NA,"MAR 50%"
6,"MAR",0.5,"MI-PMM","stunted",20,0.396388083090866,0.399647905294737,0.00325982220387105,0.00303337218089815,0.0082238148494585,0.0135656527950901,0.00220063947498602,0.0113068389619223,0.000302177882585431,0.833490222159796,0.0136180773154635,0.00176903566604148,0.9,0.0670820393249937,0.0455119933558623,0.462305974209266,"MAR 50%"
6,"MAR",0.5,"MI-RF","stunted",20,0.396388083090866,0.397982365868666,0.00159428277779972,0.00323906802537228,0.00402202499471774,0.0144855525769569,0.00234986692489833,0.0100756535145953,0.000201293732513964,0.695565699759586,0.0142084977869718,0.00212313898181603,0.9,0.0670820393249937,0.0400821205030351,0.335208951776621,"MAR 50%"
7,"MNAR",0.1,"Complete data","stunted",20,0.396388083090866,0.398043221510227,0.00165513841936094,0.00198863305704807,0.00417555040114947,0.00889343739572539,0.00144270605307204,0.00928274597949064,0.000101292890860222,1.04377481579309,0.00882485413269517,0.00118272027396024,0.95,0.0487339717240448,0.0364092738374929,NA,"MNAR 10%"
7,"MNAR",0.1,"CCA","stunted",20,0.396388083090866,0.375755005952945,-0.0206330771379211,0.00226468032019234,-0.0520527180762679,0.0101279582865121,0.00164297178639108,0.00948637663576751,0.000104891408472625,0.936652419708419,0.0228729236058722,0.00255546383661198,0.55,0.111242977306435,0.0372065300755096,NA,"MNAR 10%"
7,"MNAR",0.1,"IPW","stunted",20,0.396388083090866,0.377851594020469,-0.0185364890703973,0.00231107249350435,-0.0467634872518308,0.0103354303928113,0.00167662820631993,0.0094974844439021,0.000102203968842246,0.918924910036444,0.0210969545762268,0.00263192817423606,0.6,0.109544511501033,0.0372521410377971,NA,"MNAR 10%"
